# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
4.661706 7.256583000000006 0.19360 3.22008e-01 2.76544e-02 1.14821e-02 7.71271e-03 5.63717e-03 4.67124e-03 3.87402e-03
4.683179 7.491309000000003 0.19360 2.10092e-01 1.01830e-01 1.74359e-01 1.85128e-01 1.70192e-01 1.51618e-01 1.28088e-01
6.974542 7.323871000000004 0.19340 3.05917e-01 2.67803e-02 1.09366e-02 7.33297e-03 5.35821e-03 4.43994e-03 3.68217e-03
4.995634 5.458478999999994 0.19690 1.65457e-01 1.41238e-02 5.80506e-03 3.89701e-03 2.84805e-03 2.36001e-03 1.95723e-03
4.573049 5.3826820000000035 0.19680 2.68821e-01 2.29730e-02 9.43527e-03 6.33555e-03 4.63046e-03 3.83703e-03 3.18217e-03
7.485577 7.299531000000007 0.20690 1.39510e+00 1.20191e-01 4.98703e-02 3.34980e-02 2.44835e-02 2.02882e-02 1.68257e-02
6.021736 5.341504999999995 0.20910 1.77252e-01 9.88679e-02 1.60785e-01 1.62884e-01 1.43136e-01 1.23706e-01 1.01158e-01
4.956195 5.716691999999999 0.20950 9.78887e-01 8.53597e-02 3.49976e-02 2.34690e-02 1.71481e-02 1.42092e-02 1.17840e-02
6.481424 5.214883000000002 0.23140 8.46102e-01 7.25582e-02 3.00112e-02 2.01577e-02 1.47331e-02 1.22086e-02 1.01250e-02
4.600273 6.920454000000003 0.23070 2.62132e-01 2.31684e-02 9.35291e-03 6.24133e-03 4.55205e-03 3.77002e-03 3.12581e-03
4.60399 6.925985000000003 0.23070 1.40129e-01 1.21319e-02 4.97290e-03 3.33519e-03 2.43684e-03 2.01916e-03 1.67451e-03
7.379771 4.670828999999998 0.23290 1.90160e-01 1.82285e-02 6.51686e-03 4.34462e-03 3.17339e-03 2.62950e-03 2.18072e-03
7.430715 4.708489000000005 0.23290 1.31611e+00 1.40498e-01 4.87023e-02 3.07865e-02 2.19894e-02 1.81046e-02 1.49664e-02
6.882801 5.220797000000002 0.23280 1.19684e+00 1.02790e-01 4.26753e-02 2.86656e-02 2.09515e-02 1.73615e-02 1.43985e-02
6.964646 5.147576999999997 0.23280 1.34174e+00 1.49634e-01 5.47993e-02 3.37839e-02 2.36203e-02 1.92773e-02 1.58488e-02
6.918494 5.124038 0.23280 6.19050e-01 5.33697e-02 2.21304e-02 1.48636e-02 1.08635e-02 9.00206e-03 7.46571e-03
7.088557 5.8771910000000025 0.23320 1.31068e-01 1.10572e-02 4.58870e-03 3.08229e-03 2.25283e-03 1.86681e-03 1.54821e-03
7.4065460000000005 6.396984000000004 0.23200 1.44098e-01 1.24134e-02 5.13556e-03 3.44940e-03 2.52113e-03 2.08914e-03 1.73259e-03
6.201153 4.852256999999997 0.23640 5.30969e-01 4.58030e-02 1.89616e-02 1.27347e-02 9.30758e-03 7.71272e-03 6.39642e-03
4.771192 6.761597999999995 0.23420 1.37456e-01 1.33314e-02 4.96299e-03 3.26029e-03 2.37029e-03 1.96223e-03 1.62679e-03
6.884269 4.747166 0.23460 2.47072e+00 2.12697e-01 8.82877e-02 5.93036e-02 4.33446e-02 3.59175e-02 2.97876e-02
6.880568 4.746874999999994 0.23460 4.71612e-01 4.05669e-02 1.68156e-02 1.12951e-02 8.25547e-03 6.84090e-03 5.67339e-03
6.960494 4.765822000000003 0.23460 8.05767e-01 6.92177e-02 2.87287e-02 1.92973e-02 1.41043e-02 1.16875e-02 9.69286e-03
4.923325 5.085721999999994 0.23630 1.94410e-01 1.65509e-02 6.85399e-03 4.60379e-03 3.36488e-03 2.78831e-03 2.31244e-03
4.563602 5.494228000000002 0.23510 7.97667e-01 7.05101e-02 2.87833e-02 1.91925e-02 1.39839e-02 1.15767e-02 9.59609e-03
4.580414 5.5277249999999984 0.23510 2.18804e-01 1.93998e-02 6.29541e-03 4.16198e-03 3.03586e-03 2.51510e-03 2.08574e-03
4.571064 5.505307000000006 0.23510 1.09883e+00 9.40903e-02 3.89646e-02 2.61718e-02 1.91288e-02 1.58511e-02 1.31458e-02
4.579368 5.540982000000001 0.23510 2.80169e-01 2.40752e-02 9.91148e-03 6.65532e-03 4.86415e-03 4.03067e-03 3.34277e-03
5.097001 6.315126000000004 0.23490 9.94500e-01 9.29543e-02 3.71809e-02 2.43004e-02 1.75299e-02 1.44661e-02 1.19707e-02
5.089317 6.324337 0.23490 6.39688e-01 6.21570e-02 3.37610e-02 2.54745e-02 1.93995e-02 1.59814e-02 1.28579e-02
7.064415 4.658518999999999 0.23430 3.89161e-01 3.33138e-02 1.38300e-02 9.28983e-03 6.78987e-03 5.62643e-03 4.66619e-03
5.831041 5.197573999999995 0.23610 1.96247e+00 1.71729e-01 7.09968e-02 4.74451e-02 3.45553e-02 2.85894e-02 2.36834e-02
4.890694 6.972402999999997 0.23520 7.16776e-01 6.07919e-02 2.51427e-02 1.68877e-02 1.23430e-02 1.02281e-02 8.48248e-03
4.894194 7.466857999999999 0.23630 1.65378e-01 3.14889e-02 2.21178e-02 1.57876e-02 1.07598e-02 8.10991e-03 5.89660e-03
4.887797 7.499206000000007 0.23630 1.91792e+00 1.64080e-01 6.78371e-02 4.55656e-02 3.33036e-02 2.75970e-02 2.28872e-02
4.90378 7.478423999999995 0.23630 2.44146e-01 2.08317e-02 8.64854e-03 5.80935e-03 4.24601e-03 3.51846e-03 2.91798e-03
6.390447 6.529280999999995 0.23690 1.49627e-01 1.24490e-02 5.16139e-03 3.46697e-03 2.53398e-03 2.09979e-03 1.74142e-03
5.247724000000001 4.876747000000002 0.23870 4.86598e-01 4.45648e-02 1.71955e-02 1.14826e-02 8.38642e-03 6.94888e-03 5.76284e-03
5.240333 4.869617000000002 0.23870 1.36233e-01 1.15325e-02 4.76346e-03 3.19906e-03 2.33812e-03 1.93748e-03 1.60681e-03
6.149863 5.252896000000005 0.23680 1.69392e-01 1.41108e-02 5.58719e-03 3.74111e-03 2.73296e-03 2.26450e-03 1.87799e-03
4.722425 5.131179999999995 0.24030 1.40081e-01 1.22726e-02 5.05947e-03 3.37916e-03 2.46228e-03 2.03816e-03 1.68923e-03
4.743808 5.1260089999999945 0.24030 1.69074e+00 1.41557e-01 5.83336e-02 3.91788e-02 2.86353e-02 2.37287e-02 1.96790e-02
5.481886 5.459891000000005 0.24510 1.66269e+00 1.41649e-01 5.88157e-02 3.95073e-02 2.88757e-02 2.39278e-02 1.98442e-02
5.067694 7.317382000000007 0.24720 5.10356e-01 4.33364e-02 1.79929e-02 1.20861e-02 8.83365e-03 7.32001e-03 6.07073e-03
5.05644 7.309388000000001 0.24720 1.13576e+00 9.73518e-02 4.03702e-02 2.71168e-02 1.98195e-02 1.64234e-02 1.36205e-02
5.051934 7.314258999999999 0.24720 7.67306e+00 6.35215e-01 2.60451e-01 1.74885e-01 1.27818e-01 1.05916e-01 8.78395e-02
6.330325 5.698530999999995 0.25180 1.36602e-01 1.17522e-02 4.86938e-03 3.27066e-03 2.39050e-03 1.98089e-03 1.64282e-03
6.327347 5.6989090000000004 0.25180 5.22455e+00 4.23741e-01 1.75173e-01 1.17663e-01 8.59987e-02 7.12628e-02 5.91007e-02
5.197603 4.929251000000002 0.25440 1.80327e+00 1.54166e-01 6.40100e-02 4.29964e-02 3.14258e-02 2.60410e-02 2.15967e-02
5.681569 6.263416000000001 0.25520 1.45488e+00 1.35472e-01 5.36489e-02 3.51560e-02 2.53601e-02 2.09109e-02 1.72875e-02
5.686442 6.262237999999999 0.25520 1.48045e-01 1.24504e-02 5.09051e-03 3.41862e-03 2.49862e-03 2.07048e-03 1.71712e-03
5.560195 5.338604 0.25430 6.29116e-01 5.43552e-02 2.23660e-02 1.50116e-02 1.09703e-02 9.09039e-03 7.53891e-03
4.642702 5.761054000000005 0.25810 2.58792e-01 2.31317e-02 9.26338e-03 6.16982e-03 4.49812e-03 3.72521e-03 3.08868e-03
6.574385 6.6267279999999955 0.25760 5.28610e-01 4.43048e-02 1.83830e-02 1.23481e-02 9.02516e-03 7.47871e-03 6.20234e-03
5.18689 5.754538999999995 0.26190 5.77805e-01 5.02220e-02 1.99966e-02 1.34121e-02 9.80159e-03 8.12202e-03 6.73586e-03
4.940251 5.740783999999995 0.26080 4.36034e-01 3.99005e-02 1.56981e-02 1.04412e-02 7.61625e-03 6.30929e-03 5.23203e-03
5.156904 7.271187999999996 0.26200 8.91109e-02 1.18655e-02 6.77088e-03 4.39500e-03 2.82202e-03 2.09504e-03 1.54206e-03
5.157634 7.269439000000001 0.26200 2.74584e-01 2.33825e-02 9.67053e-03 6.49559e-03 4.74758e-03 3.93408e-03 3.26267e-03
5.167009 7.273927 0.26200 2.59440e-01 2.22043e-02 9.21986e-03 6.19311e-03 4.52651e-03 3.75089e-03 3.11074e-03
6.0122990000000005 6.062934000000003 0.26270 7.71454e-01 6.64781e-02 2.74884e-02 1.84575e-02 1.34895e-02 1.11780e-02 9.27027e-03
7.271925999999999 6.2926930000000025 0.26220 4.28399e-01 3.68586e-02 1.52994e-02 1.02767e-02 7.51116e-03 6.22413e-03 5.16188e-03
4.830485 6.732861999999995 0.26440 1.90115e-01 6.32956e-02 5.35100e-02 3.74995e-02 2.39545e-02 1.69731e-02 1.14000e-02
5.72998 7.067657000000003 0.26440 5.19945e-01 4.51504e-02 1.84775e-02 1.23993e-02 9.06138e-03 7.50861e-03 6.22712e-03
5.728224 7.0771019999999965 0.26440 3.14902e-01 2.71385e-02 1.10731e-02 7.43149e-03 5.43110e-03 4.50044e-03 3.73236e-03
5.733199000000001 7.062853000000002 0.26440 4.97955e-01 4.80858e-02 1.76870e-02 1.17308e-02 8.55881e-03 7.09086e-03 5.88041e-03
6.370001 5.960234999999999 0.26430 2.33925e+00 2.02282e-01 8.33803e-02 5.59971e-02 4.09275e-02 3.39146e-02 2.81265e-02
7.427821 5.967727999999996 0.26440 4.52530e-01 3.89570e-02 1.60881e-02 1.07992e-02 7.89170e-03 6.53922e-03 5.42312e-03
5.926739 6.27117 0.26320 9.44044e-01 7.93437e-02 3.26457e-02 2.19264e-02 1.60258e-02 1.32798e-02 1.10134e-02
5.223031 7.147032999999999 0.26320 6.19114e-01 1.96384e-01 2.48363e-01 2.24071e-01 1.77979e-01 1.44104e-01 1.10085e-01
