# RADeg decDeg z fluxmJy_1.4GHz fluxmJy_30GHz fluxmJy_90GHz fluxmJy_148GHz fluxmJy_219GHz fluxmJy_277GHz fluxmJy_350GHz
25.807625 4.453791000000006 0.19240 2.47142e-01 2.20665e-02 8.55713e-03 5.70780e-03 4.16664e-03 3.45205e-03 2.86274e-03
24.707826 7.020426000000001 0.19440 6.90705e+00 1.49743e+00 2.02607e+00 2.13208e+00 2.00450e+00 1.83056e+00 1.59846e+00
24.565554 5.014349000000002 0.19660 3.34033e+00 2.99200e-01 1.21351e-01 8.05073e-02 5.84654e-02 4.83336e-02 4.00261e-02
24.093338 7.778566000000003 0.19490 2.90593e-01 2.51570e-02 1.03651e-02 6.95334e-03 5.08041e-03 4.20957e-03 3.49103e-03
24.039112 7.6206880000000075 0.19760 2.65674e-01 1.96394e-02 8.11075e-03 5.44801e-03 3.98191e-03 3.29961e-03 2.73648e-03
25.177403 5.258411000000005 0.20230 3.82264e-01 3.20617e-02 1.32707e-02 8.91398e-03 6.51517e-03 5.39880e-03 4.47741e-03
25.226962 5.228639000000006 0.20230 5.91260e-01 5.08134e-02 2.08149e-02 1.39645e-02 1.02041e-02 8.45532e-03 7.01218e-03
27.743159 7.491576000000002 0.20380 4.67967e-01 4.00677e-02 1.65882e-02 1.11421e-02 8.14365e-03 6.74824e-03 5.59655e-03
27.354504 7.584574999999997 0.20370 4.97873e-01 4.87402e-02 2.04794e-02 1.32198e-02 9.29691e-03 7.54562e-03 6.15379e-03
25.813835 4.733799999999999 0.20430 3.06989e-01 2.62768e-02 1.08221e-02 7.26812e-03 5.31217e-03 4.40193e-03 3.65067e-03
25.807269000000005 4.749148 0.20430 2.28795e-01 1.97224e-02 8.18232e-03 5.49591e-03 4.01690e-03 3.32861e-03 2.76053e-03
24.512184 5.267458000000002 0.20660 2.53582e-01 2.17746e-02 9.02878e-03 6.06470e-03 4.43265e-03 3.67311e-03 3.04624e-03
