,RADeg,decDeg,z,fluxmJy_1.4GHz,fluxmJy_30GHz,fluxmJy_90GHz,fluxmJy_148GHz,fluxmJy_219GHz,fluxmJy_277GHz,fluxmJy_350GHz
2434,6.588765000000001,5.579227000000006,1.239,0.230821,0.0193016,0.00801315,0.00538254,0.00393407,0.00325997,0.0027036
2439,5.596259,6.562346000000001,1.235,1.9585,0.167953,0.0697137,0.0468276,0.034226,0.0283614,0.0235211
2440,5.910493,4.934497999999998,1.243,0.131504,0.0108861,0.00444257,0.00298251,0.00217978,0.00180627,0.001498
2441,5.875873,5.403902000000004,1.247,0.0552547,0.00481126,0.00196823,0.00131919,0.000963684,0.000798476,0.000662177
2456,6.552827,5.703986,1.263,10.4946,0.887333,0.368442,0.247488,0.180887,0.149892,0.124311
2457,6.5344370000000005,5.712919999999995,1.263,0.124148,0.010716,0.00442118,0.0029683,0.00216934,0.00179761,0.00149081
2458,5.452657,5.064045999999997,1.257,0.0639912,0.00510672,0.00210505,0.00141377,0.0010333,0.000856242,0.000710111
2459,5.45375,5.0652770000000045,1.257,0.0720581,0.00619497,0.00257237,0.0017279,0.00126291,0.00104651,0.000867906
2460,5.440204,5.062153999999996,1.257,0.328604,0.0265934,0.0109872,0.00737928,0.00539339,0.00446923,0.00370648
2461,5.47423,5.0561149999999975,1.257,0.0870612,0.0065046,0.00268054,0.0018005,0.00131597,0.00109048,0.000904374
2462,5.474129,5.062465000000005,1.257,0.106414,0.00913338,0.00376638,0.00252811,0.00184748,0.00153087,0.00126958
2463,5.441957000000001,4.981144000000002,1.258,0.0502963,0.00431336,0.00179109,0.0012031,0.000879337,0.000728663,0.000604305
2464,5.451459,4.9901129999999965,1.258,5.7383,0.487528,0.202429,0.135974,0.0993826,0.0823535,0.0682985
2465,5.447185,4.981501000000002,1.258,0.859793,0.0739034,0.0306879,0.0206135,0.0150663,0.0124847,0.010354
2467,6.725101000000001,5.797911000000005,1.262,0.0879995,0.00745344,0.00309072,0.00207603,0.00151735,0.00125736,0.00104277
2468,5.350703,5.000784000000003,1.259,0.0861381,0.00737924,0.00298128,0.00200032,0.00146185,0.00121135,0.00100461
2469,4.919754000000001,6.7957619999999945,1.255,0.087758,0.00741322,0.00307065,0.00206258,0.00150753,0.00124921,0.00103601
2470,4.922124,6.802163,1.255,0.176778,0.0173861,0.00688109,0.00440768,0.00314374,0.0025842,0.00213381
2471,6.628704,7.150919999999999,1.262,0.226444,0.0194775,0.00806454,0.00541619,0.00395857,0.00328026,0.00272043
2472,6.634059,7.151294999999994,1.262,0.0698735,0.00591175,0.00245265,0.00164747,0.00120412,0.000997798,0.000827508
2477,6.558831,6.029185999999994,1.258,0.352478,0.0301207,0.0124991,0.00839577,0.00613641,0.00508494,0.00421712
2478,6.562131,6.013204999999997,1.258,2.90787,0.250509,0.103875,0.0697672,0.0509915,0.042254,0.0350427
2479,4.947378,6.8906370000000035,1.255,0.0612487,0.00523207,0.00212707,0.00142755,0.00104329,0.000864519,0.000716973
2481,6.981502,5.656043000000007,1.259,0.0749407,0.00658009,0.0026676,0.00178438,0.00130273,0.00107924,0.000894963
2483,4.844039,6.903105000000004,1.259,0.0514973,0.00433014,0.00179803,0.00120776,0.000882745,0.000731488,0.000606647
2484,6.682064,6.002527000000001,1.263,0.0631599,0.0054268,0.00225345,0.00151367,0.00110633,0.000916763,0.000760303
2485,4.842414,6.345690999999997,1.265,0.0629819,0.00540218,0.00224308,0.00150671,0.00110124,0.000912545,0.000756804
2486,4.850933,6.349245000000004,1.265,1.77743,0.152728,0.063329,0.0425381,0.0310908,0.0257634,0.0213665
2487,6.697617,5.532468,1.263,0.0568413,0.00482365,0.00200284,0.00134533,0.000983296,0.000814809,0.000675749
2488,6.703734,5.519001999999998,1.263,0.297752,0.0241516,0.0099812,0.00670444,0.00490023,0.00406058,0.00336757
2489,6.699098,5.521860000000001,1.263,0.0559365,0.0363866,0.0476542,0.0421453,0.03296,0.0264889,0.0201236
2490,5.682819,6.042136000000004,1.27,0.055225,0.00441254,0.00182799,0.00122787,0.000897438,0.000743662,0.000616744
2491,5.687457,6.022400999999998,1.27,0.0923984,0.00673075,0.00278762,0.00187246,0.00136856,0.00113406,0.000940516
2492,5.673299,6.054118999999995,1.27,0.131768,0.0123948,0.00475646,0.00312277,0.00226367,0.00187155,0.0015504
2493,5.674237,6.031563999999995,1.27,1.04163,0.0893457,0.0368666,0.0247605,0.0180971,0.0149962,0.0124368
2494,7.074994,5.128705999999997,1.271,0.0924447,0.00748954,0.00310989,0.00208896,0.00152681,0.00126519,0.00104926
2495,7.072491000000001,5.120719000000006,1.271,1.22978,0.157711,0.0937511,0.0657989,0.0455921,0.0352486,0.0266554
2496,6.711822,6.059397,1.271,0.077917,0.00654582,0.00271327,0.00182248,0.00133204,0.00110379,0.000915412
2498,5.812553,5.051747000000003,1.267,0.0547797,0.00469674,0.00194961,0.00130958,0.00095716,0.000793151,0.000657787
2499,5.80094,5.0602399999999985,1.267,0.0643499,0.00559772,0.00228874,0.00153572,0.00112228,0.000929964,0.000771247
2500,5.324265,5.976639000000002,1.265,0.152302,0.0131712,0.00542256,0.00364096,0.00266105,0.00220507,0.00182874
2507,5.505753,5.298334000000004,1.277,0.0816339,0.00703824,0.00291696,0.00195926,0.001432,0.00118663,0.000984113
2508,5.506165,5.296271000000002,1.277,0.281883,0.0400371,0.0195513,0.0115041,0.00708231,0.0052755,0.00398835
2510,6.22864,7.051102,1.275,0.092494,0.00805097,0.00324856,0.0021802,0.00159339,0.00132036,0.00109501
2511,5.605230000000001,5.330221999999999,1.273,0.101142,0.00887711,0.00358567,0.00240508,0.0017576,0.00145641,0.00120785
2512,5.613207000000001,5.333110999999998,1.273,0.216835,0.0185685,0.00770343,0.00517449,0.003782,0.00313396,0.0025991
2513,7.171439,7.159631000000004,1.278,0.552572,0.0464907,0.0192505,0.0129302,0.00945056,0.00783121,0.00649469
2514,7.170141,7.157082000000001,1.278,0.272639,0.0234178,0.00972397,0.00653173,0.004774,0.00395598,0.00328083
2515,6.962434,5.4460320000000015,1.275,0.480247,0.0412175,0.0171139,0.0114957,0.0084021,0.0069624,0.00577416
2516,5.144675,5.216078999999998,1.273,0.182938,0.015569,0.00646424,0.00434212,0.00317363,0.00262983,0.00218101
2517,5.472658000000001,5.958097999999996,1.282,0.0591056,0.00500104,0.00207653,0.00139483,0.00101947,0.000844788,0.000700611
2519,5.644152,6.213287999999994,1.281,0.0683091,0.00518495,0.0021319,0.00143174,0.00104643,0.000867123,0.000719134
2524,6.34529,6.318930999999998,1.285,0.0932959,0.00808863,0.00333005,0.00223458,0.00163292,0.00135307,0.00112214
2526,5.56018,6.227718000000004,1.28,0.060034,0.00526972,0.00212464,0.00141898,0.0010353,0.000857522,0.000711027
2527,5.562696,6.22865,1.28,0.0985742,0.0216297,0.0102342,0.00544294,0.00301516,0.00210554,0.00150494
