# ells, tt, ee, bb, te
1.030150000000000000e+04 1.597833424490454624e-01 1.732433078562863049e-03 1.508913678861927140e-03 -2.066457626362069259e-03
1.050150000000000000e+04 1.559673067421720738e-01 1.673837829004289545e-03 1.473152117244111697e-03 -2.016134490437773014e-03
1.070150000000000000e+04 1.524922996036857936e-01 1.615356150548449441e-03 1.442922619579568985e-03 -1.955313766491171938e-03
1.090150000000000000e+04 1.489400844482960951e-01 1.572975317733452290e-03 1.412848741467954495e-03 -1.872277848678542906e-03
1.110150000000000000e+04 1.460458228931435787e-01 1.526397951702988635e-03 1.381134690480015186e-03 -1.802079133919652545e-03
1.130150000000000000e+04 1.425804663761656432e-01 1.481827434737559117e-03 1.346581267448854636e-03 -1.786281598189378480e-03
1.150150000000000000e+04 1.379553881359180389e-01 1.442737191207310978e-03 1.309035593766894653e-03 -1.723886604819753520e-03
1.170150000000000000e+04 1.351199292833577814e-01 1.404143672428558639e-03 1.274192879156583417e-03 -1.647579182219313784e-03
1.190150000000000000e+04 1.310282438479749012e-01 1.366913257898607400e-03 1.247827055470724115e-03 -1.640215773114527464e-03
1.210150000000000000e+04 1.287345055295088803e-01 1.336031734573887289e-03 1.228286006305313134e-03 -1.614367545881627676e-03
1.230150000000000000e+04 1.272376449350302863e-01 1.305382787715885905e-03 1.208094725812352546e-03 -1.537482661629977106e-03
1.250150000000000000e+04 1.237774024913664284e-01 1.277487148655560194e-03 1.182230937219940587e-03 -1.526089722027807773e-03
1.270150000000000000e+04 1.199297563983599269e-01 1.241157967418181048e-03 1.149887190614201551e-03 -1.498924358714677756e-03
1.290150000000000000e+04 1.165441046963313632e-01 1.210387455128339798e-03 1.114748113583520885e-03 -1.438695440337787318e-03
1.310150000000000000e+04 1.124172087382215857e-01 1.174843921511041587e-03 1.081367872038885725e-03 -1.403365365234352478e-03
1.330150000000000000e+04 1.110538861022703772e-01 1.139451913709385372e-03 1.052439315989545793e-03 -1.372376507923353355e-03
1.350150000000000000e+04 1.073503508624814168e-01 1.109234611513721996e-03 1.024665186521201386e-03 -1.327483620222271289e-03
1.370150000000000000e+04 1.043528408696757226e-01 1.080529917804901735e-03 9.972396940537819193e-04 -1.298437193087468265e-03
1.390150000000000000e+04 1.012126164277175056e-01 1.052475958722097352e-03 9.718662134953323564e-04 -1.269195448491360458e-03
1.410150000000000000e+04 9.830057895270170876e-02 1.030507994105087262e-03 9.509872678034550107e-04 -1.247997196341005992e-03
1.430150000000000000e+04 9.662862258878869570e-02 1.008486831389393372e-03 9.346464589999478817e-04 -1.221315019257263913e-03
1.450150000000000000e+04 9.408063007795479382e-02 9.893142353462082688e-04 9.202127067401792964e-04 -1.197952182824948714e-03
1.470150000000000000e+04 9.235099510361030606e-02 9.685842450155600141e-04 9.047716897571938133e-04 -1.179304853141162259e-03
1.490150000000000000e+04 9.006354667574929806e-02 9.453714532181225084e-04 8.853332170522133088e-04 -1.145942569566481923e-03
1.510150000000000000e+04 8.820295476508177579e-02 9.215256327949554026e-04 8.617495279718216227e-04 -1.106692246184890014e-03
1.530150000000000000e+04 8.588797346919374576e-02 8.924424971907544057e-04 8.346340569355218406e-04 -1.079407860877844814e-03
1.550150000000000000e+04 8.325275480072481804e-02 8.659740727138693630e-04 8.070716773860881106e-04 -1.040914788884730966e-03
1.570150000000000000e+04 8.151563959340214771e-02 8.403899958042640060e-04 7.837177049481562369e-04 -9.982262635840819225e-04
1.590150000000000000e+04 7.962566944448086492e-02 8.173894579190362029e-04 7.679068336294690060e-04 -9.802613379872656286e-04
1.610150000000000000e+04 7.888083626761781264e-02 8.010393629322337715e-04 7.593970702003114727e-04 -9.573889847653149635e-04
1.630150000000000000e+04 7.824806563869515785e-02 7.854679086788276914e-04 7.534798320745331223e-04 -9.274647388643605592e-04
1.650150000000000000e+04 7.726501061261353831e-02 7.735939541126009289e-04 7.451930444558296481e-04 -9.231436195147516401e-04
1.670150000000000000e+04 7.563641679481913904e-02 7.584460869013653038e-04 7.314937637280857080e-04 -9.026844947689313973e-04
1.690150000000000000e+04 7.416118964965508209e-02 7.459411754083035157e-04 7.142453349120386026e-04 -8.795369618934513814e-04
1.710150000000000000e+04 7.180770907298188177e-02 7.303179310346384579e-04 6.970688505926135028e-04 -8.722837885456423673e-04
1.730150000000000000e+04 7.099836296862974128e-02 7.169501707770804637e-04 6.837880586349377862e-04 -8.585738947647467319e-04
1.750150000000000000e+04 6.968045520277740823e-02 7.060361578100209654e-04 6.748700321626460762e-04 -8.349294544972818118e-04
1.770150000000000000e+04 6.893164302992253745e-02 6.962717098328337221e-04 6.686793737508334905e-04 -8.345749228177402283e-04
1.790150000000000000e+04 6.795600498892591379e-02 6.856845797571762841e-04 6.616699746505005355e-04 -8.276840749218175282e-04
1.810150000000000000e+04 6.663173629285563948e-02 6.783347903658195049e-04 6.522030097717160593e-04 -8.075491563836288819e-04
1.830150000000000000e+04 6.552682985702644458e-02 6.669640661506811034e-04 6.411545175497280168e-04 -7.967776170099065240e-04
