,z,RADeg,decDeg,comoving_pos_x_Mpc,comoving_pos_y_Mpc,comoving_pos_z_Mpc,pec_vel_x_km_s,pec_vel_y_km_s,pec_vel_z_km_s,Mfof,Mvir,Mgas_vir,Rvir,int_tSZ_in_Rvir,int_kSZ_in_Rvir,int_SZ_in_Rvir_148GHz,int_SZ_in_Rvir_219GHz,int_SZ_in_Rvir_277GHz,int_SZ_in_Rvir_30GHz,int_SZ_in_Rvir_90GHz,int_SZ_in_Rvir_350GHz,M200,Mgas_200,R200,int_tSZ_in_R200,int_kSZ_in_R200,int_SZ_in_R200_148GHz,int_SZ_in_R200_219GHz,int_SZ_in_R200_277GHz,int_SZ_in_R200_30GHz,int_SZ_in_R200_90GHz,int_SZ_in_R200_350GHz,M500,Mgas_500,R500,int_tSZ_in_R500,int_kSZ_in_R500,int_SZ_in_R500_148GHz,int_SZ_in_R500_219GHz,int_SZ_in_R500_277GHz,int_SZ_in_R500_30GHz,int_SZ_in_R500_90GHz,int_SZ_in_R500_350GHz,Mstar,rho_gas_c,T_c,P_c,Phi_c
2048,1.8593,26.94948,6.920779000000003,4476.291,2275.814,609.5288,53.29725,-177.6715,193.1734,32294330000000.0,31813760000000.0,3352375000000.0,0.3698246,1.957915e-06,3.399926e-08,-1.868656e-06,6.209092e-08,1.848844e-06,-3.777349e-06,-3.076169e-06,4.245508e-06,31621530000000.0,3258292000000.0,0.353319,1.937482e-06,3.33881e-08,-1.849339e-06,6.111254e-08,1.829057e-06,-3.738108e-06,-3.044223e-06,4.200585e-06,26527480000000.0,2386693000000.0,0.2358527,1.691692e-06,2.690174e-08,-1.61626e-06,5.035974e-08,1.592384e-06,-3.265386e-06,-2.659295e-06,3.661814e-06,732670800000.0,767500000000000.0,1.770563,231200000000000.0,-1.58301
2051,1.8658,24.98399,6.655531999999997,4564.628,2126.969,587.6149,5.725548,131.9561,421.8216,40079570000000.0,27969190000000.0,3167507000000.0,0.35305,1.922467e-06,-3.840977e-07,-2.249649e-06,-3.534677e-07,1.399219e-06,-4.12677e-06,-3.436867e-06,3.74744e-06,27392510000000.0,3056603000000.0,0.3378465,1.889474e-06,-3.737795e-07,-2.207209e-06,-3.437814e-07,1.378591e-06,-4.052105e-06,-3.37401e-06,3.686332e-06,20760640000000.0,2063502000000.0,0.2174566,1.533037e-06,-2.73554e-07,-1.760157e-06,-2.50185e-07,1.145136e-06,-3.256948e-06,-2.706483e-06,3.015902e-06,687203100000.0,861200000000000.0,1.833857,268700000000000.0,-1.658414
2054,1.8634,24.93783,6.887377000000002,4560.184,2120.427,607.4596,281.0273,-9.429456,-7.128024,46615320000000.0,28641990000000.0,3261986000000.0,0.3513412,1.99006e-06,-9.537711e-07,-2.882042e-06,-9.169377e-07,8.974447e-07,-4.8278e-06,-4.11276e-06,3.323182e-06,26623600000000.0,2966632000000.0,0.3202831,1.881256e-06,-8.836243e-07,-2.706251e-06,-8.490348e-07,8.65652e-07,-4.545617e-06,-3.8696e-06,3.158393e-06,18165560000000.0,1774052000000.0,0.2084013,1.370365e-06,-5.844738e-07,-1.91131e-06,-5.601427e-07,6.870225e-07,-3.25112e-06,-2.758422e-06,2.355724e-06,724069600000.0,464100000000000.0,1.645127,129900000000000.0,-1.47609
2055,1.8667,25.68768,7.064250999999996,4535.294,2181.489,623.664,-16.90734,-155.1602,68.29166,49498740000000.0,35658320000000.0,4137522000000.0,0.3766152,2.668728e-06,3.34504e-07,-2.260165e-06,3.696295e-07,2.804518e-06,-4.859671e-06,-3.904663e-06,6.073745e-06,34408840000000.0,3858437000000.0,0.3499175,2.556486e-06,3.150822e-07,-2.170202e-06,3.484588e-07,2.68035e-06,-4.660371e-06,-3.745442e-06,5.81163e-06,23259600000000.0,2275218000000.0,0.2278205,1.846456e-06,2.10404e-07,-1.583686e-06,2.335205e-07,1.915609e-06,-3.382216e-06,-2.721081e-06,4.175581e-06,869349800000.0,338600000000000.0,1.696283,97720000000000.0,-1.49787
2060,1.8683,25.21044,6.3425300000000036,4562.374,2147.905,560.5076,110.4864,-364.0433,401.5547,38733970000000.0,36331120000000.0,4224502000000.0,0.382301,2.613755e-06,4.684435e-08,-2.493571e-06,8.355616e-08,2.468217e-06,-5.042705e-06,-4.106001e-06,5.6679e-06,35466090000000.0,3995927000000.0,0.3544898,2.55689e-06,4.524844e-08,-2.439706e-06,8.097762e-08,2.413343e-06,-4.933358e-06,-4.016982e-06,5.54309e-06,26815820000000.0,2755470000000.0,0.2383311,2.150653e-06,3.524314e-08,-2.053837e-06,6.425332e-08,2.023721e-06,-4.151189e-06,-3.380106e-06,4.654404e-06,819630000000.0,441800000000000.0,1.698897,127700000000000.0,-1.48005
2061,1.884,25.11352,7.1472699999999945,4580.399,2146.934,634.3198,220.0071,-112.9844,-102.3726,29122560000000.0,28545880000000.0,3015175000000.0,0.345718,1.550117e-06,-4.384986e-07,-1.943359e-06,-4.115303e-07,1.004584e-06,-3.457079e-06,-2.901233e-06,2.899216e-06,28065310000000.0,2959629000000.0,0.3360602,1.537667e-06,-4.328828e-07,-1.925624e-06,-4.061659e-07,9.984988e-07,-3.427184e-06,-2.875792e-06,2.877858e-06,22586810000000.0,2075700000000.0,0.2222997,1.284455e-06,-3.329632e-07,-1.57936e-06,-3.111982e-07,8.609542e-07,-2.833629e-06,-2.372865e-06,2.429928e-06,682817400000.0,340900000000000.0,1.35794,78760000000000.0,-1.18107
2064,1.884,27.03761,5.279673999999998,4521.72,2307.672,469.1204,406.6488,133.6145,117.4961,41425160000000.0,22779030000000.0,2666446000000.0,0.3235722,1.468514e-06,-1.360448e-06,-2.781484e-06,-1.328156e-06,1.175653e-08,-4.220754e-06,-3.691954e-06,1.797992e-06,20376180000000.0,2276624000000.0,0.2912005,1.315191e-06,-1.198129e-06,-2.470673e-06,-1.169336e-06,3.040292e-08,-3.75966e-06,-3.286034e-06,1.629933e-06,11341460000000.0,971894100000.0,0.1763079,7.269574e-07,-6.168868e-07,-1.31996e-06,-6.012872e-07,6.116586e-08,-2.032404e-06,-1.770521e-06,9.447693e-07,641685400000.0,144200000000000.0,1.209763,29680000000000.0,-1.036921
2065,1.8849,26.57261,5.436538999999997,4541.15,2271.324,483.2318,-97.65636,176.6449,117.5785,28738110000000.0,24797430000000.0,2613227000000.0,0.3345383,1.305606e-06,-8.576728e-09,-1.279335e-06,1.274857e-08,1.20919e-06,-2.552334e-06,-2.08544e-06,2.810839e-06,23932400000000.0,2404988000000.0,0.3081512,1.257559e-06,-8.137546e-09,-1.232045e-06,1.231329e-08,1.164528e-06,-2.458193e-06,-2.008453e-06,2.707087e-06,14128770000000.0,1288620000000.0,0.1905496,8.941497e-07,-5.25509e-09,-8.750384e-07,8.828851e-09,8.270773e-07,-1.746837e-06,-1.42692e-06,1.923111e-06,656635900000.0,286100000000000.0,1.271054,61870000000000.0,-1.07613
2066,1.9041,26.380710000000004,4.897347999999997,4579.428,2271.327,437.994,13.78703,26.57348,118.5988,34601060000000.0,31525410000000.0,3633364000000.0,0.3631191,2.248531e-06,-1.321914e-07,-2.314811e-06,-9.953101e-08,1.949314e-06,-4.507615e-06,-3.701628e-06,4.697495e-06,29795360000000.0,3382197000000.0,0.3297934,2.17772e-06,-1.256758e-07,-2.239338e-06,-9.428022e-08,1.889532e-06,-4.36308e-06,-3.582401e-06,4.550781e-06,23836290000000.0,2427845000000.0,0.2247298,1.84468e-06,-9.830762e-08,-1.887842e-06,-7.265301e-08,1.605745e-06,-3.686776e-06,-3.025187e-06,3.858475e-06,732965900000.0,632300000000000.0,1.787549,192300000000000.0,-1.55925
2068,1.9067,25.79477,6.028972,4597.752,2222.122,539.3339,281.4326,29.5674,148.069,38733970000000.0,33639920000000.0,4075829000000.0,0.3628527,2.443964e-06,-1.206875e-06,-3.572701e-06,-1.161948e-06,1.062702e-06,-5.963165e-06,-5.08415e-06,4.037713e-06,32390440000000.0,3880428000000.0,0.3437244,2.381902e-06,-1.164533e-06,-3.470138e-06,-1.120895e-06,1.046939e-06,-5.79989e-06,-4.943151e-06,3.94616e-06,21721780000000.0,2317434000000.0,0.2178287,1.764728e-06,-7.90655e-07,-2.497843e-06,-7.593884e-07,8.444464e-07,-4.223879e-06,-3.588803e-06,2.990727e-06,806685300000.0,350400000000000.0,1.589508,94760000000000.0,-1.35288
